token	corpus size	all contexts size	frequency	co-frequency	specificity
interprétation	25872	8575	137	115	34.00
contrées	25872	8575	28	28	13.44
récits	25872	8575	20	19	7.99
lucide	25872	8575	12	12	5.76
propres	25872	8575	15	14	5.72
types	25872	8575	16	14	4.99
travail	25872	8575	38	25	4.53
temps	25872	8575	39	25	4.26
récurrents	25872	8575	11	10	3.93
ombilic	25872	8575	8	8	3.84
diurne	25872	8575	8	8	3.84
eveillé	25872	8575	8	8	3.84
paris	25872	8575	34	21	3.38
mauvais	25872	8575	7	7	3.36
article	25872	8575	12	10	3.33
prémonitoires	25872	8575	12	10	3.33
peuvent	25872	8575	31	19	3.06
étude	25872	8575	9	8	3.06
laquelle	25872	8575	11	9	2.93
moyenne	25872	8575	6	6	2.88
commodité	25872	8575	6	6	2.88
prémonitoire	25872	8575	6	6	2.88
traduit	25872	8575	6	6	2.88
servent	25872	8575	6	6	2.88
traumatiques	25872	8575	6	6	2.88
anthropologiques	25872	8575	6	6	2.88
monde	25872	8575	22	14	2.61
seraient	25872	8575	5	5	2.40
sources	25872	8575	5	5	2.40
détaillé	25872	8575	5	5	2.40
typologie	25872	8575	5	5	2.40
reste	25872	8575	5	5	2.40
presses	25872	8575	5	5	2.40
manifeste	25872	8575	7	6	2.21
typiques	25872	8575	7	6	2.21
communication	25872	8575	7	6	2.21
rapports	25872	8575	7	6	2.21
8	25872	8575	7	6	2.21
ocf	25872	8575	15	10	2.19
interpréter	25872	8575	9	7	2.15
éveillé	25872	8575	11	8	2.14
libre	25872	8575	11	8	2.14
œuvre	25872	8575	16	10	1.94
formation	25872	8575	4	4	1.92
typique	25872	8575	4	4	1.92
étudié	25872	8575	4	4	1.92
conter	25872	8575	4	4	1.92
odile	25872	8575	4	4	1.92
intégrative	25872	8575	4	4	1.92
ait	25872	8575	4	4	1.92
sera	25872	8575	4	4	1.92
toujours	25872	8575	14	9	1.89
afin	25872	8575	6	5	1.79
thème	25872	8575	6	5	1.79
psychologiques	25872	8575	6	5	1.79
usage	25872	8575	6	5	1.79
logique	25872	8575	8	6	1.78
analyse	25872	8575	27	14	1.69
certains	25872	8575	28	14	1.56
6	25872	8575	9	6	1.48
vieux	25872	8575	3	3	1.44
longtemps	25872	8575	3	3	1.44
lyonnais	25872	8575	3	3	1.44
liquidation	25872	8575	3	3	1.44
und	25872	8575	3	3	1.44
révèle	25872	8575	3	3	1.44
représente	25872	8575	3	3	1.44
présentent	25872	8575	3	3	1.44
symbolisme	25872	8575	3	3	1.44
créatif	25872	8575	3	3	1.44
obtient	25872	8575	3	3	1.44
reflète	25872	8575	3	3	1.44
marquants	25872	8575	3	3	1.44
1997	25872	8575	3	3	1.44
davantage	25872	8575	3	3	1.44
comprend	25872	8575	3	3	1.44
1800-1945	25872	8575	3	3	1.44
naturel	25872	8575	3	3	1.44
formés	25872	8575	3	3	1.44
agités	25872	8575	3	3	1.44
prennent	25872	8575	3	3	1.44
train	25872	8575	3	3	1.44
compensatoires	25872	8575	3	3	1.44
1460	25872	8575	3	3	1.44
an	25872	8575	3	3	1.44
reflètent	25872	8575	3	3	1.44
telle	25872	8575	3	3	1.44
exister	25872	8575	3	3	1.44
rencontre	25872	8575	3	3	1.44
nanterre	25872	8575	3	3	1.44
troisième	25872	8575	7	5	1.43
sociale	25872	8575	7	5	1.43
sociologique	25872	8575	7	5	1.43
récit	25872	8575	24	12	1.42
devenu	25872	8575	5	4	1.39
https	25872	8575	5	4	1.39
//fr	25872	8575	5	4	1.39
étaient	25872	8575	5	4	1.39
physiologiques	25872	8575	5	4	1.39
espace	25872	8575	5	4	1.39
active	25872	8575	5	4	1.39
permettent	25872	8575	5	4	1.39
perron	25872	8575	12	7	1.33
permet	25872	8575	17	9	1.33
mythe	25872	8575	8	5	1.17
interprétations	25872	8575	8	5	1.17
exemple	25872	8575	24	11	1.15
réalise	25872	8575	6	4	1.09
traduction	25872	8575	6	4	1.09
narration	25872	8575	6	4	1.09
droit	25872	8575	6	4	1.09
raconter	25872	8575	6	4	1.09
lire	25872	8575	6	4	1.09
terrain	25872	8575	6	4	1.09
suis	25872	8575	6	4	1.09
fonctions	25872	8575	11	6	1.09
poésie	25872	8575	4	3	1.01
désigne	25872	8575	4	3	1.01
modèle	25872	8575	4	3	1.01
tr	25872	8575	4	3	1.01
langage	25872	8575	4	3	1.01
sexuel	25872	8575	4	3	1.01
définit	25872	8575	4	3	1.01
commun	25872	8575	4	3	1.01
découverte	25872	8575	4	3	1.01
constituent	25872	8575	4	3	1.01
étrange	25872	8575	4	3	1.01
etevenon	25872	8575	4	3	1.01
essai	25872	8575	4	3	1.01
journal	25872	8575	4	3	1.01
beaux	25872	8575	4	3	1.01
gallimard	25872	8575	4	3	1.01
22	25872	8575	4	3	1.01
freudienne	25872	8575	4	3	1.01
france	25872	8575	4	3	1.01
question	25872	8575	23	10	1.01
pouvoir	25872	8575	9	5	1.00
humanoïdes	25872	8575	2	2	0.96
démiurgique	25872	8575	2	2	0.96
réalisé	25872	8575	2	2	0.96
minier	25872	8575	2	2	0.96
demeuré	25872	8575	2	2	0.96
politique	25872	8575	2	2	0.96
