token	corpus size	all contexts size	frequency	co-frequency	specificity
中国	16005	2613	109	56	16.65
大唐	16005	2613	18	12	5.65
共	16005	2613	8	7	4.69
实现	16005	2613	56	22	4.63
逐	16005	2613	5	5	3.94
追	16005	2613	5	5	3.94
明白	16005	2613	5	5	3.94
必须	16005	2613	16	9	3.57
做	16005	2613	34	14	3.43
回首	16005	2613	6	5	3.24
意象	16005	2613	6	5	3.24
演变	16005	2613	4	4	3.15
篇	16005	2613	16	8	2.81
出现	16005	2613	5	4	2.53
遥	16005	2613	5	4	2.53
白日	16005	2613	5	4	2.53
幻	16005	2613	5	4	2.53
复兴	16005	2613	14	7	2.52
柴燚楠	16005	2613	3	3	2.36
凝聚	16005	2613	3	3	2.36
明	16005	2613	3	3	2.36
难得	16005	2613	3	3	2.36
――	16005	2613	3	3	2.36
百	16005	2613	3	3	2.36
许多	16005	2613	3	3	2.36
大学	16005	2613	15	7	2.32
红尘	16005	2613	9	5	2.15
现代化	16005	2613	6	4	2.13
别	16005	2613	6	4	2.13
解析	16005	2613	6	4	2.13
3	16005	2613	6	4	2.13
文字	16005	2613	6	4	2.13
文学	16005	2613	6	4	2.13
理想	16005	2613	7	4	1.84
美	16005	2613	7	4	1.84
似	16005	2613	7	4	1.84
作为	16005	2613	7	4	1.84
成	16005	2613	7	4	1.84
奥运	16005	2613	4	3	1.84
戏	16005	2613	4	3	1.84
意味着	16005	2613	4	3	1.84
碎	16005	2613	4	3	1.84
书	16005	2613	4	3	1.84
圆	16005	2613	11	5	1.74
那些	16005	2613	8	4	1.61
手机	16005	2613	8	4	1.61
春天	16005	2613	2	2	1.57
筑	16005	2613	2	2	1.57
全体	16005	2613	2	2	1.57
总指引	16005	2613	2	2	1.57
总根基	16005	2613	2	2	1.57
有所	16005	2613	2	2	1.57
故人	16005	2613	2	2	1.57
绕	16005	2613	2	2	1.57
百年	16005	2613	2	2	1.57
君王怀	16005	2613	2	2	1.57
唐爱	16005	2613	2	2	1.57
楼	16005	2613	2	2	1.57
五	16005	2613	2	2	1.57
具有	16005	2613	2	2	1.57
醉鬼	16005	2613	2	2	1.57
辆	16005	2613	2	2	1.57
难以	16005	2613	2	2	1.57
初创	16005	2613	2	2	1.57
寒冬	16005	2613	2	2	1.57
儿子	16005	2613	2	2	1.57
蓝天	16005	2613	2	2	1.57
说明	16005	2613	2	2	1.57
周	16005	2613	2	2	1.57
惊	16005	2613	2	2	1.57
起哄	16005	2613	2	2	1.57
大众	16005	2613	2	2	1.57
观众	16005	2613	2	2	1.57
曲靖	16005	2613	5	3	1.52
香	16005	2613	5	3	1.52
墨	16005	2613	5	3	1.52
谈	16005	2613	5	3	1.52
很多	16005	2613	5	3	1.52
事情	16005	2613	5	3	1.52
时代	16005	2613	26	8	1.50
写	16005	2613	17	6	1.48
江南	16005	2613	9	4	1.44
承载	16005	2613	6	3	1.29
即	16005	2613	6	3	1.29
寻	16005	2613	6	3	1.29
字	16005	2613	6	3	1.29
仅	16005	2613	10	4	1.29
通过	16005	2613	10	4	1.29
伟大	16005	2613	46	11	1.24
同	16005	2613	15	5	1.23
能	16005	2613	42	10	1.18
发电	16005	2613	3	2	1.17
航天梦	16005	2613	3	2	1.17
造	16005	2613	3	2	1.17
同心	16005	2613	3	2	1.17
近代	16005	2613	3	2	1.17
实	16005	2613	3	2	1.17
现	16005	2613	3	2	1.17
反而	16005	2613	3	2	1.17
那时	16005	2613	3	2	1.17
常	16005	2613	3	2	1.17
缕	16005	2613	3	2	1.17
长安	16005	2613	3	2	1.17
Dream	16005	2613	3	2	1.17
2	16005	2613	3	2	1.17
体验	16005	2613	3	2	1.17
蝴蝶	16005	2613	3	2	1.17
文	16005	2613	3	2	1.17
后梦	16005	2613	3	2	1.17
可	16005	2613	11	4	1.17
中华民族	16005	2613	21	6	1.15
把	16005	2613	16	5	1.15
提供	16005	2613	7	3	1.13
二	16005	2613	7	3	1.13
内容	16005	2613	7	3	1.13
succeed	16005	2613	50	11	1.10
再	16005	2613	18	5	1.01
记得	16005	2613	8	3	1.00
png	16005	2613	8	3	1.00
黑	16005	2613	8	3	1.00
学子	16005	2613	4	2	0.95
乡村	16005	2613	4	2	0.95
创业	16005	2613	4	2	0.95
投身	16005	2613	4	2	0.95
和平	16005	2613	4	2	0.95
何处	16005	2613	4	2	0.95
别人	16005	2613	4	2	0.95
时空	16005	2613	4	2	0.95
形成	16005	2613	4	2	0.95
眼睛	16005	2613	4	2	0.95
企业	16005	2613	4	2	0.95
古人	16005	2613	4	2	0.95
作	16005	2613	4	2	0.95
醒	16005	2613	25	6	0.95
精神	16005	2613	9	3	0.90
醉	16005	2613	9	3	0.90
越	16005	2613	9	3	0.90
我们	16005	2613	53	8	0.83
；	16005	2613	29	6	0.83
进行	16005	2613	10	3	0.82
夜	16005	2613	10	3	0.82
艺术	16005	2613	10	3	0.82
各种	16005	2613	10	3	0.82
像	16005	2613	10	3	0.82
多	16005	2613	37	7	0.82
因为	16005	2613	16	4	0.82
航天	16005	2613	5	2	0.81
强调	16005	2613	5	2	0.81
就是	16005	2613	5	2	0.81
魂	16005	2613	5	2	0.81
牵	16005	2613	5	2	0.81
难	16005	2613	5	2	0.81
四	16005	2613	5	2	0.81
向	16005	2613	5	2	0.81
虽然	16005	2613	5	2	0.81
of	16005	2613	5	2	0.81
经常	16005	2613	5	2	0.81
然而	16005	2613	5	2	0.81
旧	16005	2613	5	2	0.81
算	16005	2613	5	2	0.81
记住	16005	2613	5	2	0.81
最后	16005	2613	5	2	0.81
（	16005	2613	41	7	0.79
求学	16005	2613	1	1	0.79
校园	16005	2613	1	1	0.79
族	16005	2613	1	1	0.79
热情	16005	2613	1	1	0.79
强大	16005	2613	1	1	0.79
星辰	16005	2613	1	1	0.79
