token	corpus size	all contexts size	frequency	co-frequency	specificity
lucid	185581	35436	310	288	176.09
reports	185581	35436	75	59	27.98
interpretation	185581	35436	75	58	26.81
content	185581	35436	269	120	21.05
occur	185581	35436	82	55	20.51
function	185581	35436	73	49	18.38
ian	185581	35436	72	46	16.04
waking	185581	35436	326	124	15.08
often	185581	35436	125	60	12.70
mean	185581	35436	78	44	12.62
what	185581	35436	498	162	12.43
theory	185581	35436	82	45	12.31
recall	185581	35436	57	35	11.65
common	185581	35436	65	38	11.65
psychologist	185581	35436	45	30	11.42
during	185581	35436	339	118	11.41
tend	185581	35436	32	24	10.97
experiences	185581	35436	139	61	10.83
involve	185581	35436	37	26	10.78
phenomenology	185581	35436	26	21	10.74
experience	185581	35436	231	87	10.64
might	185581	35436	235	88	10.60
imagery	185581	35436	62	35	10.21
analysing	185581	35436	14	14	10.07
more	185581	35436	641	188	9.93
expert	185581	35436	32	23	9.92
model	185581	35436	76	39	9.63
induce	185581	35436	18	16	9.51
ordinary	185581	35436	29	21	9.21
analysis	185581	35436	75	38	9.20
feature	185581	35436	21	17	8.82
recurring	185581	35436	30	21	8.78
vivid	185581	35436	40	25	8.76
why	185581	35436	151	60	8.64
does	185581	35436	127	53	8.60
argues	185581	35436	41	25	8.44
wallace	185581	35436	55	30	8.39
some	185581	35436	262	89	8.30
interpret	185581	35436	20	16	8.19
do	185581	35436	319	103	8.13
between	185581	35436	153	59	7.96
meaning	185581	35436	54	29	7.93
whether	185581	35436	69	34	7.92
control	185581	35436	66	33	7.91
american	185581	35436	93	41	7.64
childhood	185581	35436	26	18	7.49
while	185581	35436	206	71	7.10
someone	185581	35436	100	42	7.09
remember	185581	35436	61	30	7.06
induction	185581	35436	16	13	6.88
frequency	185581	35436	14	12	6.85
claim	185581	35436	81	35	6.40
occurs	185581	35436	24	16	6.38
reported	185581	35436	32	19	6.32
most	185581	35436	227	74	6.31
if	185581	35436	372	109	6.22
fever	185581	35436	13	11	6.20
similar	185581	35436	41	22	6.18
consciously	185581	35436	25	16	6.02
theories	185581	35436	54	26	6.00
likely	185581	35436	42	22	5.95
your	185581	35436	594	159	5.95
also	185581	35436	293	89	5.94
argument	185581	35436	52	25	5.78
evidence	185581	35436	75	32	5.78
believed	185581	35436	34	19	5.78
which	185581	35436	359	104	5.75
desert	185581	35436	16	12	5.74
imaginative	185581	35436	12	10	5.56
correlates	185581	35436	12	10	5.56
suggests	185581	35436	38	20	5.51
literary	185581	35436	19	13	5.47
our	185581	35436	482	131	5.44
experienced	185581	35436	48	23	5.35
suggest	185581	35436	30	17	5.34
listeners	185581	35436	17	12	5.30
into	185581	35436	254	77	5.25
skepticism	185581	35436	37	19	5.07
memory	185581	35436	102	38	5.06
