token	corpus size	all contexts size	frequency	co-frequency	specificity
interprétation	159151	8777	183	118	99.91
contrées	159151	8777	32	29	32.89
récits	159151	8777	34	22	19.25
lucide	159151	8777	14	12	13.19
propres	159151	8777	24	15	12.99
prémonitoires	159151	8777	15	12	12.52
types	159151	8777	27	15	11.94
ombilic	159151	8777	8	8	10.07
eveillé	159151	8777	8	8	10.07
récurrents	159151	8777	17	11	9.90
travail	159151	8777	109	26	9.82
diurne	159151	8777	16	10	8.83
prémonitoire	159151	8777	8	7	7.93
peuvent	159151	8777	94	21	7.55
commodité	159151	8777	6	6	7.55
traumatiques	159151	8777	7	6	6.73
anthropologiques	159151	8777	7	6	6.73
typologie	159151	8777	5	5	6.29
1800-1945	159151	8777	5	5	6.29
typiques	159151	8777	8	6	6.15
certains	159151	8777	55	14	5.99
temps	159151	8777	140	23	5.71
récit	159151	8777	43	12	5.68
ocf	159151	8777	31	10	5.46
analyse	159151	8777	71	15	5.30
éveillé	159151	8777	20	8	5.26
logique	159151	8777	15	7	5.20
typique	159151	8777	4	4	5.03
conter	159151	8777	4	4	5.03
servent	159151	8777	11	6	5.01
perron	159151	8777	16	7	4.97
lucides	159151	8777	12	6	4.73
moyenne	159151	8777	8	5	4.62
psychologiques	159151	8777	8	5	4.62
permet	159151	8777	54	12	4.60
interpréter	159151	8777	18	7	4.58
fonctions	159151	8777	25	8	4.45
laquelle	159151	8777	32	9	4.45
mauvais	159151	8777	19	7	4.40
œuvre	159151	8777	41	10	4.30
devenu	159151	8777	9	5	4.29
rapports	159151	8777	14	6	4.27
manifeste	159151	8777	15	6	4.07
raconter	159151	8777	10	5	4.01
démiurgique	159151	8777	3	3	3.78
induction	159151	8777	3	3	3.78
créatifs	159151	8777	3	3	3.78
marquants	159151	8777	3	3	3.78
formés	159151	8777	3	3	3.78
agités	159151	8777	3	3	3.78
1460	159151	8777	3	3	3.78
reflètent	159151	8777	3	3	3.78
she	159151	8777	3	3	3.78
traduit	159151	8777	17	6	3.73
narration	159151	8777	7	4	3.56
produisent	159151	8777	13	5	3.38
thème	159151	8777	27	7	3.35
réalise	159151	8777	8	4	3.29
sociologique	159151	8777	14	5	3.21
liquidation	159151	8777	4	3	3.20
tr	159151	8777	4	3	3.20
obtient	159151	8777	4	3	3.20
définit	159151	8777	4	3	3.20
reflète	159151	8777	4	3	3.20
etevenon	159151	8777	4	3	3.20
compensatoires	159151	8777	4	3	3.20
exister	159151	8777	4	3	3.20
souvenir	159151	8777	46	9	3.20
étude	159151	8777	38	8	3.12
seraient	159151	8777	15	5	3.06
mythe	159151	8777	15	5	3.06
représente	159151	8777	9	4	3.06
intégrative	159151	8777	9	4	3.06
libre	159151	8777	42	8	2.83
refléter	159151	8777	5	3	2.82
étudié	159151	8777	5	3	2.82
hermann	159151	8777	5	3	2.82
he	159151	8777	5	3	2.82
interprétations	159151	8777	17	5	2.80
paris	159151	8777	223	23	2.79
odile	159151	8777	11	4	2.69
prennent	159151	8777	11	4	2.69
usage	159151	8777	18	5	2.68
exemple	159151	8777	78	11	2.60
généralement	159151	8777	19	5	2.57
créatif	159151	8777	6	3	2.55
sexuel	159151	8777	6	3	2.55
apparente	159151	8777	6	3	2.55
récurrent	159151	8777	6	3	2.55
beaux	159151	8777	6	3	2.55
intimité	159151	8777	6	3	2.55
recueil	159151	8777	12	4	2.54
séance	159151	8777	12	4	2.54
minier	159151	8777	2	2	2.52
demeuré	159151	8777	2	2	2.52
inaugure	159151	8777	2	2	2.52
renseigne	159151	8777	2	2	2.52
souper	159151	8777	2	2	2.52
denoël	159151	8777	2	2	2.52
post-traumatiques	159151	8777	2	2	2.52
»^[5]	159151	8777	2	2	2.52
entrent	159151	8777	2	2	2.52
varie	159151	8777	2	2	2.52
coïncide	159151	8777	2	2	2.52
martini	159151	8777	2	2	2.52
gauguin	159151	8777	2	2	2.52
dalí	159151	8777	2	2	2.52
neurophilosophie	159151	8777	2	2	2.52
cremerius	159151	8777	2	2	2.52
réalité»	159151	8777	2	2	2.52
altère	159151	8777	2	2	2.52
érigé	159151	8777	2	2	2.52
communicatives	159151	8777	2	2	2.52
chamanique	159151	8777	2	2	2.52
poétisation	159151	8777	2	2	2.52
1939-1962	159151	8777	2	2	2.52
178	159151	8777	2	2	2.52
mireille	159151	8777	2	2	2.52
plastique	159151	8777	2	2	2.52
consigne	159151	8777	2	2	2.52
incorporent	159151	8777	2	2	2.52
ont-ils	159151	8777	2	2	2.52
célébrités	159151	8777	2	2	2.52
paraissent	159151	8777	2	2	2.52
classifier	159151	8777	2	2	2.52
relatés	159151	8777	2	2	2.52
esc	159151	8777	2	2	2.52
ii^e-vii^e	159151	8777	2	2	2.52
[le	159151	8777	2	2	2.52
terrifiants	159151	8777	2	2	2.52
δήμος	159151	8777	2	2	2.52
ονείρων	159151	8777	2	2	2.52
coluche	159151	8777	2	2	2.52
précognitifs	159151	8777	2	2	2.52
sources	159151	8777	20	5	2.47
réveil	159151	8777	49	8	2.42
écrire	159151	8777	13	4	2.40
presses	159151	8777	21	5	2.38
vieux	159151	8777	7	3	2.33
lyonnais	159151	8777	7	3	2.33
und	159151	8777	7	3	2.33
andreas	159151	8777	7	3	2.33
constituent	159151	8777	7	3	2.33
rêverie	159151	8777	63	9	2.28
distingue	159151	8777	14	4	2.28
permettent	159151	8777	14	4	2.28
sociale	159151	8777	23	5	2.21
rome	159151	8777	15	4	2.17
élément	159151	8777	8	3	2.15
mayer	159151	8777	8	3	2.15
1997	159151	8777	8	3	2.15
active	159151	8777	16	4	2.07
oubli	159151	8777	3	2	2.06
121	159151	8777	3	2	2.06
verbe	159151	8777	3	2	2.06
mémoires	159151	8777	3	2	2.06
divins	159151	8777	3	2	2.06
étrangeté	159151	8777	3	2	2.06
érotique	159151	8777	3	2	2.06
yoga	159151	8777	3	2	2.06
«un	159151	8777	3	2	2.06
christ	159151	8777	3	2	2.06
nourrit	159151	8777	3	2	2.06
délirer	159151	8777	3	2	2.06
