token	corpus size	all contexts size	frequency	co-frequency	specificity
中国	124862	2491	483	54	23.50
实现	124862	2491	108	23	16.62
大唐	124862	2491	39	12	11.05
梦	124862	2491	372	27	8.01
必须	124862	2491	33	9	7.93
逐	124862	2491	6	5	7.73
追	124862	2491	8	5	6.78
伟大	124862	2491	77	11	6.46
意象	124862	2491	9	5	6.44
遥	124862	2491	5	4	6.11
白日	124862	2491	5	4	6.11
幻	124862	2491	5	4	6.11
做	124862	2491	148	14	5.82
回首	124862	2491	12	5	5.66
演变	124862	2491	6	4	5.64
红尘	124862	2491	13	5	5.46
解析	124862	2491	7	4	5.28
共	124862	2491	37	7	5.15
唐爱	124862	2491	3	3	5.10
复兴	124862	2491	39	7	5.00
醒	124862	2491	28	6	4.82
明白	124862	2491	17	5	4.82
碎	124862	2491	9	4	4.74
大学	124862	2491	50	7	4.28
江南	124862	2491	12	4	4.18
难得	124862	2491	5	3	4.12
圆	124862	2491	13	4	4.03
篇	124862	2491	56	7	3.97
似	124862	2491	15	4	3.76
中华民族	124862	2491	43	6	3.74
凝聚	124862	2491	7	3	3.59
理想	124862	2491	17	4	3.54
总指引	124862	2491	2	2	3.40
总根基	124862	2491	2	2	3.40
故人	124862	2491	2	2	3.40
君王怀	124862	2491	2	2	3.40
醉鬼	124862	2491	2	2	3.40
初创	124862	2491	2	2	3.40
蓝天	124862	2491	2	2	3.40
起哄	124862	2491	2	2	3.40
奥运	124862	2491	8	3	3.40
墨	124862	2491	8	3	3.40
别	124862	2491	23	4	3.02
航天梦	124862	2491	3	2	2.93
筑	124862	2491	3	2	2.93
说明	124862	2491	3	2	2.93
后梦	124862	2491	3	2	2.93
大众	124862	2491	3	2	2.93
百	124862	2491	12	3	2.84
手机	124862	2491	26	4	2.82
文字	124862	2491	27	4	2.76
承载	124862	2491	13	3	2.73
意味着	124862	2491	13	3	2.73
――	124862	2491	13	3	2.73
发电	124862	2491	4	2	2.64
近代	124862	2491	4	2	2.64
■	124862	2491	4	2	2.64
绕	124862	2491	4	2	2.64
蝴蝶	124862	2491	4	2	2.64
戏	124862	2491	14	3	2.64
即	124862	2491	15	3	2.55
寻	124862	2491	15	3	2.55
香	124862	2491	16	3	2.47
学子	124862	2491	5	2	2.43
有所	124862	2491	5	2	2.43
百年	124862	2491	5	2	2.43
惊	124862	2491	5	2	2.43
古人	124862	2491	5	2	2.43
谈	124862	2491	17	3	2.39
黑	124862	2491	18	3	2.32
现代化	124862	2491	36	4	2.31
文学	124862	2491	36	4	2.31
